Problem,Hindi Original,Categories,Sol,Categories by Llama(English),Acc Choice Eng ,Categories by Llama(Hindi),Acc Choice Hindi ,Prompt for Llama(English),Prompt for Llama(Hindi),Prompt using our categories(English),Prompt using our categories(Hindi),Problems in Eng (Color Code by Llama) after 3 times run,3 times result English,Hindi(Give to Llama3) after 3 times run,3 times result Hindi,,,,,,,
 A coin is tossed 3 times and the outcomes are recorded. How many possible outcomes are there?," एक सिक्का तीन बार उछाला जाता है और परिणाम अंकित कर लिए जाते हैं। परिणामों की संभव
संख्या क्या है?",Fundamental principle of counting,8,Fundamental principle of counting,Y,Fundamental principle of counting,Y,You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: A coin is tossed 3 times and the outcomes are recorded. How many possible outcomes are there?,"You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: एक सिक्का तीन बार उछाला जाता है और परिणाम अंकित कर लिए जाते हैं। परिणामों की संभव
संख्या क्या है?",You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: A coin is tossed 3 times and the outcomes are recorded. How many possible outcomes are there?,"You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: एक सिक्का तीन बार उछाला जाता है और परिणाम अंकित कर लिए जाते हैं। परिणामों की संभव
संख्या क्या है?",You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem:  A coin is tossed 3 times and the outcomes are recorded. How many possible outcomes are there?,,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: एक सिक्का तीन बार उछाला जाता है और परिणाम अंकित कर लिए जाते हैं। परिणामों की संभव
संख्या क्या है?",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"18 mice were placed in two experimental groups and one control group, with all
groups equally large. In how many ways can the mice be placed into three
groups?"," 18 चूहों को दो प्रायोगिक समूहों और एक नियंत्रण समूह में रखा जाता है, जबकि सभी समूह समान रूप से विशाल हैं। ये चूहे इन समूहों में कितने प्रकार से रखे जा सकते हैं?",Permutation without restrictions,17153136,Fundamental principle of counting,N,Fundamental principle of counting,N,"You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem:18 mice were placed in two experimental groups and one control group, with all
groups equally large. In how many ways can the mice be placed into three
groups?","You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: 18 चूहों को दो प्रायोगिक समूहों और एक नियंत्रण समूह में रखा जाता है, जबकि सभी समूह समान रूप से विशाल हैं। ये चूहे इन समूहों में कितने प्रकार से रखे जा सकते हैं?","You are expert in solving problems in Permutation without restrictions Use your expertise to solve the problem:18 mice were placed in two experimental groups and one control group, with all
groups equally large. In how many ways can the mice be placed into three
groups?","You are expert in solving problems in Permutation without restrictions Use your expertise to solve the problem: 18 चूहों को दो प्रायोगिक समूहों और एक नियंत्रण समूह में रखा जाता है, जबकि सभी समूह समान रूप से विशाल हैं। ये चूहे इन समूहों में कितने प्रकार से रखे जा सकते हैं?","You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: 18 mice were placed in two experimental groups and one control group, with all
groups equally large. In how many ways can the mice be placed into three
groups?",,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: 18 चूहों को दो प्रायोगिक समूहों और एक नियंत्रण समूह में रखा जाता है, जबकि सभी समूह समान रूप से विशाल हैं। ये चूहे इन समूहों में कितने प्रकार से रखे जा सकते हैं?",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"A bag contains 5 black and 6 red balls. Determine the number of ways in which
2 black and 3 red balls can be selected from the lot.", एक थैले में 5 काली और 6 लाल गेंदें हैं। इस थैले में 2 काली और 3 लाल गेंदें निकालने की विभिन्‍न विधियों की संख्या ज्ञात कीजिए।,Combinations,200,Combinations,N,Fundamental principle of counting,N,"You are expert in solving problems in Combinations Use your expertise to solve the problem:A bag contains 5 black and 6 red balls. Determine the number of ways in which
2 black and 3 red balls can be selected from the lot.",You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: एक थैले में 5 काली और 6 लाल गेंदें हैं। इस थैले में 2 काली और 3 लाल गेंदें निकालने की विभिन्‍न विधियों की संख्या ज्ञात कीजिए।,"You are expert in solving problems in Combinations Use your expertise to solve the problem:A bag contains 5 black and 6 red balls. Determine the number of ways in which
2 black and 3 red balls can be selected from the lot.",You are expert in solving problems in Combinations Use your expertise to solve the problem: एक थैले में 5 काली और 6 लाल गेंदें हैं। इस थैले में 2 काली और 3 लाल गेंदें निकालने की विभिन्‍न विधियों की संख्या ज्ञात कीजिए।,"You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: A bag contains 5 black and 6 red balls. Determine the number of ways in which
2 black and 3 red balls can be selected from the lot.",,You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: एक थैले में 5 काली और 6 लाल गेंदें हैं। इस थैले में 2 काली और 3 लाल गेंदें निकालने की विभिन्‍न विधियों की संख्या ज्ञात कीजिए।,,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"A bag contains six white marbles and five red marbles. Find the number of ways
in which four marbles can be drawn from the bag if they can be of any colour.", एक थेैले में 6 सफेद कंचे और 5 लाल कंचे हैं। इस थैले में से चार कंचे निकालने की कुल विधियाँ ज्ञात कीजिए यदि वे किसी भी रंग के हों,Combinations,330,Combinations,Y,Fundamental principle of counting,N,"You are expert in solving problems in Combinations Use your expertise to solve the problem:A bag contains six white marbles and five red marbles. Find the number of ways
in which four marbles can be drawn from the bag if they can be of any colour.",You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: एक थेैले में 6 सफेद कंचे और 5 लाल कंचे हैं। इस थैले में से चार कंचे निकालने की कुल विधियाँ ज्ञात कीजिए यदि वे किसी भी रंग के हों,"You are expert in solving problems in Combinations Use your expertise to solve the problem:A bag contains six white marbles and five red marbles. Find the number of ways
in which four marbles can be drawn from the bag if they can be of any colour.",You are expert in solving problems in Combinations Use your expertise to solve the problem: एक थेैले में 6 सफेद कंचे और 5 लाल कंचे हैं। इस थैले में से चार कंचे निकालने की कुल विधियाँ ज्ञात कीजिए यदि वे किसी भी रंग के हों,"You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: A bag contains six white marbles and five red marbles. Find the number of ways
in which four marbles can be drawn from the bag if they can be of any colour.",,You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: एक थेैले में 6 सफेद कंचे और 5 लाल कंचे हैं। इस थैले में से चार कंचे निकालने की कुल विधियाँ ज्ञात कीजिए यदि वे किसी भी रंग के हों,,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"A bag contains six white marbles and five red marbles. Find the number of ways
in which four marbles can be drawn from the bag if they must all be of the same colour.", एक थेैले में 6 सफेद कंचे और 5 लाल कंचे हैं। इस थैले में से चार कंचे निकालने की कुल विधियाँ ज्ञात कीजिए यदि सभी एक ही रंग के हों।,Combinations,20,Fundamental principle of counting,N,Fundamental principle of counting,N,"You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem:A bag contains six white marbles and five red marbles. Find the number of ways
in which four marbles can be drawn from the bag if they must all be of the same colour.",You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: एक थेैले में 6 सफेद कंचे और 5 लाल कंचे हैं। इस थैले में से चार कंचे निकालने की कुल विधियाँ ज्ञात कीजिए यदि सभी एक ही रंग के हों।,"You are expert in solving problems in Combinations Use your expertise to solve the problem:A bag contains six white marbles and five red marbles. Find the number of ways
in which four marbles can be drawn from the bag if they must all be of the same colour.",You are expert in solving problems in Combinations Use your expertise to solve the problem: एक थेैले में 6 सफेद कंचे और 5 लाल कंचे हैं। इस थैले में से चार कंचे निकालने की कुल विधियाँ ज्ञात कीजिए यदि सभी एक ही रंग के हों।,"You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: A bag contains six white marbles and five red marbles. Find the number of ways
in which four marbles can be drawn from the bag if they must all be of the same colour.",,You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: एक थेैले में 6 सफेद कंचे और 5 लाल कंचे हैं। इस थैले में से चार कंचे निकालने की कुल विधियाँ ज्ञात कीजिए यदि सभी एक ही रंग के हों।,,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"A bag contains six white marbles and five red marbles. Find the number of ways
in which four marbles can be drawn from the bag if two must be white and two red.", एक थेैले में 6 सफेद कंचे और 5 लाल कंचे हैं। इस थैले में से चार कंचे निकालने की कुल विधियाँ ज्ञात कीजिए यदि दो सफेद और दो लाल रंग के हों,Combinations,150,Fundamental principle of counting.,N,Fundamental principle of counting,N,"You are expert in solving problems in Fundamental principle of counting. Use your expertise to solve the problem:A bag contains six white marbles and five red marbles. Find the number of ways
in which four marbles can be drawn from the bag if two must be white and two red.",You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: एक थेैले में 6 सफेद कंचे और 5 लाल कंचे हैं। इस थैले में से चार कंचे निकालने की कुल विधियाँ ज्ञात कीजिए यदि दो सफेद और दो लाल रंग के हों,"You are expert in solving problems in Combinations Use your expertise to solve the problem:A bag contains six white marbles and five red marbles. Find the number of ways
in which four marbles can be drawn from the bag if two must be white and two red.",You are expert in solving problems in Combinations Use your expertise to solve the problem: एक थेैले में 6 सफेद कंचे और 5 लाल कंचे हैं। इस थैले में से चार कंचे निकालने की कुल विधियाँ ज्ञात कीजिए यदि दो सफेद और दो लाल रंग के हों,"You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: A bag contains six white marbles and five red marbles. Find the number of ways
in which four marbles can be drawn from the bag if two must be white and two red.",,You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: एक थेैले में 6 सफेद कंचे और 5 लाल कंचे हैं। इस थैले में से चार कंचे निकालने की कुल विधियाँ ज्ञात कीजिए यदि दो सफेद और दो लाल रंग के हों,,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"A box contains 2 white balls, 3 black balls and 4 red balls. The number of ways
three balls be drawn from the box if at least one black ball is to be included in the
draw is?"," एक बॉक्स में 2 सफेद गेंदें, 3 काली गेंद और 4 लाल गेंद हैं। यदि कम से कम एक गेंद काली
निकालनी है, तो इस बॉक्स में से तीन गेंद निकालने के प्रकारों की संख्या कितनी है?",Combinations,64,Fundamental principle of counting.,N,Fundamental principle of counting.,N,"You are expert in solving problems in Fundamental principle of counting. Use your expertise to solve the problem:A box contains 2 white balls, 3 black balls and 4 red balls. The number of ways
three balls be drawn from the box if at least one black ball is to be included in the
draw is?","You are expert in solving problems in Fundamental principle of counting. Use your expertise to solve the problem: एक बॉक्स में 2 सफेद गेंदें, 3 काली गेंद और 4 लाल गेंद हैं। यदि कम से कम एक गेंद काली
निकालनी है, तो इस बॉक्स में से तीन गेंद निकालने के प्रकारों की संख्या कितनी है?","You are expert in solving problems in Combinations Use your expertise to solve the problem:A box contains 2 white balls, 3 black balls and 4 red balls. The number of ways
three balls be drawn from the box if at least one black ball is to be included in the
draw is?","You are expert in solving problems in Combinations Use your expertise to solve the problem: एक बॉक्स में 2 सफेद गेंदें, 3 काली गेंद और 4 लाल गेंद हैं। यदि कम से कम एक गेंद काली
निकालनी है, तो इस बॉक्स में से तीन गेंद निकालने के प्रकारों की संख्या कितनी है?","You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: A box contains 2 white balls, 3 black balls and 4 red balls. The number of ways
three balls be drawn from the box if at least one black ball is to be included in the
draw i",,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: एक बॉक्स में 2 सफेद गेंदें, 3 काली गेंद और 4 लाल गेंद हैं। यदि कम से कम एक गेंद काली
निकालनी है, तो इस बॉक्स में से तीन गेंद निकालने के प्रकारों की संख्या कितनी है?",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"A box contains two white, three black and four red balls. In how many ways
can three balls be drawn from the box, if atleast one black ball is to be included
in the draw."," 'एक बॉक्स में, दो सफेद, तीन काली और चार लाल गेंदें हैं। इस बॉक्स में से तीन गेंद कितने
प्रकार से निकाली जा सकती हैं, यदि इनमें कम से कम 1 काली गेंद अवश्य हो।",Combinations,64,Combinations,Y,Fundamental principle of counting,N,"You are expert in solving problems in Combinations Use your expertise to solve the problem:A box contains two white, three black and four red balls. In how many ways
can three balls be drawn from the box, if atleast one black ball is to be included
in the draw.","You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: 'एक बॉक्स में, दो सफेद, तीन काली और चार लाल गेंदें हैं। इस बॉक्स में से तीन गेंद कितने
प्रकार से निकाली जा सकती हैं, यदि इनमें कम से कम 1 काली गेंद अवश्य हो।","You are expert in solving problems in Combinations Use your expertise to solve the problem:A box contains two white, three black and four red balls. In how many ways
can three balls be drawn from the box, if atleast one black ball is to be included
in the draw.","You are expert in solving problems in Combinations Use your expertise to solve the problem: 'एक बॉक्स में, दो सफेद, तीन काली और चार लाल गेंदें हैं। इस बॉक्स में से तीन गेंद कितने
प्रकार से निकाली जा सकती हैं, यदि इनमें कम से कम 1 काली गेंद अवश्य हो।","You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: A box contains two white, three black and four red balls. In how many ways
can three balls be drawn from the box, if atleast one black ball is to be included
in the draw.",,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: 'एक बॉक्स में, दो सफेद, तीन काली और चार लाल गेंदें हैं। इस बॉक्स में से तीन गेंद कितने
प्रकार से निकाली जा सकती हैं, यदि इनमें कम से कम 1 काली गेंद अवश्य हो।",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"A boy has 3 library tickets and 8 books of his interest in the library. Of these 8, he does not want to borrow Mathematics Part II, 
unless Mathematics Part I is also borrowed. In how many ways can he choose the three books to be borrowed?", एक लड़के के पास 3 लाइब्रेरी टिकट हैं तथा लाइब्रेरी में उसकी रुचि की 8 पुस्तकें हैं। इन 8 में से वह गणित भाग-II तब तक नहीं लेना चाहता जब तक कि गणित भाग-I भी न ले ली जाए। वह लाइब्रेरी से तीन पुस्तकें कितने प्रकार से ले सकता है?,Combinations,41,Fundamental principle of counting,N,Fundamental principle of counting.,N,"You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem:A boy has 3 library tickets and 8 books of his interest in the library. Of these 8, he does not want to borrow Mathematics Part II, 
unless Mathematics Part I is also borrowed. In how many ways can he choose the three books to be borrowed?",You are expert in solving problems in Fundamental principle of counting. Use your expertise to solve the problem: एक लड़के के पास 3 लाइब्रेरी टिकट हैं तथा लाइब्रेरी में उसकी रुचि की 8 पुस्तकें हैं। इन 8 में से वह गणित भाग-II तब तक नहीं लेना चाहता जब तक कि गणित भाग-I भी न ले ली जाए। वह लाइब्रेरी से तीन पुस्तकें कितने प्रकार से ले सकता है?,"You are expert in solving problems in Combinations Use your expertise to solve the problem:A boy has 3 library tickets and 8 books of his interest in the library. Of these 8, he does not want to borrow Mathematics Part II, 
unless Mathematics Part I is also borrowed. In how many ways can he choose the three books to be borrowed?",You are expert in solving problems in Combinations Use your expertise to solve the problem: एक लड़के के पास 3 लाइब्रेरी टिकट हैं तथा लाइब्रेरी में उसकी रुचि की 8 पुस्तकें हैं। इन 8 में से वह गणित भाग-II तब तक नहीं लेना चाहता जब तक कि गणित भाग-I भी न ले ली जाए। वह लाइब्रेरी से तीन पुस्तकें कितने प्रकार से ले सकता है?,"You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: A boy has 3 library tickets and 8 books of his interest in the library. Of these 8, he does not want to borrow Mathematics Part II, 
unless Mathematics Part I is also borrowed. In how many ways can he choose the three books to be borrowed?",,You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: एक लड़के के पास 3 लाइब्रेरी टिकट हैं तथा लाइब्रेरी में उसकी रुचि की 8 पुस्तकें हैं। इन 8 में से वह गणित भाग-II तब तक नहीं लेना चाहता जब तक कि गणित भाग-I भी न ले ली जाए। वह लाइब्रेरी से तीन पुस्तकें कितने प्रकार से ले सकता है?,,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"A candidate is required to answer 7 questions out of 12 questions, which are
divided into two groups, each containing 6 questions. He is not permitted to
attempt more than 5 questions from either group. Find the number of different
ways of doing questions."," एक प्रत्याशी को 12 प्रश्नों
में से 7 प्रश्नोंके उत्तर देने हैं,जो दो समूहों
में हैं प्रत्येक समूह में
6 प्रश्न हैं। वह किसी भी समूह में से 5 प्रश्नों से अधिक प्रश्न नहीं कर सकता है। प्रश्नों को
करने के विभिन्‍न प्रकारों की संख्या ज्ञात कीजिए।",Combinations,780,Fundamental principle of counting,N,Fundamental principle of counting,N,"You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem:A candidate is required to answer 7 questions out of 12 questions, which are
divided into two groups, each containing 6 questions. He is not permitted to
attempt more than 5 questions from either group. Find the number of different
ways of doing questions.","You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: एक प्रत्याशी को 12 प्रश्नों
में से 7 प्रश्नोंके उत्तर देने हैं,जो दो समूहों
में हैं प्रत्येक समूह में
6 प्रश्न हैं। वह किसी भी समूह में से 5 प्रश्नों से अधिक प्रश्न नहीं कर सकता है। प्रश्नों को
करने के विभिन्‍न प्रकारों की संख्या ज्ञात कीजिए।","You are expert in solving problems in Combinations Use your expertise to solve the problem:A candidate is required to answer 7 questions out of 12 questions, which are
divided into two groups, each containing 6 questions. He is not permitted to
attempt more than 5 questions from either group. Find the number of different
ways of doing questions.","You are expert in solving problems in Combinations Use your expertise to solve the problem: एक प्रत्याशी को 12 प्रश्नों
में से 7 प्रश्नोंके उत्तर देने हैं,जो दो समूहों
में हैं प्रत्येक समूह में
6 प्रश्न हैं। वह किसी भी समूह में से 5 प्रश्नों से अधिक प्रश्न नहीं कर सकता है। प्रश्नों को
करने के विभिन्‍न प्रकारों की संख्या ज्ञात कीजिए।","You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: A candidate is required to answer 7 questions out of 12 questions, which are
divided into two groups, each containing 6 questions. He is not permitted to
attempt more than 5 questions from either group. Find the number of different
ways of doing questions.",,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: एक प्रत्याशी को 12 प्रश्नों
में से 7 प्रश्नोंके उत्तर देने हैं,जो दो समूहों
में हैं प्रत्येक समूह में
6 प्रश्न हैं। वह किसी भी समूह में से 5 प्रश्नों से अधिक प्रश्न नहीं कर सकता है। प्रश्नों को
करने के विभिन्‍न प्रकारों की संख्या ज्ञात कीजिए।",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
